Frequency analysis for file: Resources\normalText.txt
 tho - 353 - 0.16 %
 som - 353 - 0.16 %
 ead - 352 - 0.16 %
 ist - 351 - 0.16 %
 ast - 350 - 0.16 %
 nde - 346 - 0.16 %
 ked - 345 - 0.16 %
 lit - 343 - 0.15 %
 who - 342 - 0.15 %
 wou - 338 - 0.15 %
 ath - 338 - 0.15 %
 men - 336 - 0.15 %
 sel - 332 - 0.15 %
 ook - 329 - 0.15 %
 mor - 323 - 0.15 %
 ven - 323 - 0.15 %
 abl - 323 - 0.15 %
 art - 318 - 0.14 %
 rin - 317 - 0.14 %
 nte - 315 - 0.14 %
 ssi - 314 - 0.14 %
 pro - 312 - 0.14 %
 sha - 312 - 0.14 %
 sin - 312 - 0.14 %
 lea - 311 - 0.14 %
 min - 311 - 0.14 %
 anc - 310 - 0.14 %
 son - 310 - 0.14 %
 ttl - 306 - 0.14 %
 ake - 305 - 0.14 %
 way - 304 - 0.14 %
 ace - 302 - 0.14 %
 wha - 300 - 0.13 %
 eat - 297 - 0.13 %
 sed - 297 - 0.13 %
 wor - 295 - 0.13 %
 air - 294 - 0.13 %
 any - 293 - 0.13 %
 att - 293 - 0.13 %
 led - 289 - 0.13 %
 ran - 289 - 0.13 %
 can - 287 - 0.13 %
 wil - 286 - 0.13 %
 nti - 285 - 0.13 %
 has - 284 - 0.13 %
 sti - 284 - 0.13 %
 nly - 279 - 0.13 %
 ant - 279 - 0.13 %
 pre - 278 - 0.12 %
 ree - 277 - 0.12 %
 ose - 274 - 0.12 %
 loo - 273 - 0.12 %
 roo - 272 - 0.12 %
 end - 271 - 0.12 %
 ite - 271 - 0.12 %
 tan - 271 - 0.12 %
 nto - 270 - 0.12 %
 ock - 268 - 0.12 %
 ack - 268 - 0.12 %
 thr - 267 - 0.12 %
 cha - 266 - 0.12 %
 nge - 265 - 0.12 %
 how - 265 - 0.12 %
 ood - 261 - 0.12 %
 ort - 261 - 0.12 %
 kin - 261 - 0.12 %
 ons - 260 - 0.12 %
 pen - 257 - 0.12 %
 hal - 256 - 0.12 %
 ice - 256 - 0.12 %
 din - 255 - 0.11 %
 ene - 255 - 0.11 %
 sid - 255 - 0.11 %
 nes - 252 - 0.11 %
 lin - 251 - 0.11 %
